partID; gender; age; dB; csPerm; switchPerm; trial; csThisTime; block; cs1; cs2; us; color; pattern; colorFreq; parallelCode; contRating; conRatingRT
101; f; 26; 98; 3; 2; 0; 3; 0; 3; 2; 0; red; diamonds; 15; 76; 100.0; 6.7021202000032645
101; f; 26; 98; 3; 2; 0; 4; 0; 4; 1; 0; red; dots; 12; 41; 100.0; 5.05101179999474
101; f; 26; 98; 3; 2; 0; 1; 0; 1; 4; 0; green; diamonds; 15; 58; 100.0; 2.7430641999962972
101; f; 26; 98; 3; 2; 0; 2; 0; 2; 3; 0; green; dots; 12; 23; 100.0; 2.3105543999990914
101; f; 26; 98; 3; 2; 1; 2; 1; 2; 3; 1; green; dots; 12; 23; 50.0; 8.310540099992068
101; f; 26; 98; 3; 2; 2; 3; 1; 3; 2; 0; red; diamonds; 12; 32; 50.0; 5.709688699993421
101; f; 26; 98; 3; 2; 3; 1; 1; 1; 4; 1; green; diamonds; 15; 58; 100.0; 11.044179599994095
101; f; 26; 98; 3; 2; 4; 2; 1; 2; 3; 0; green; dots; 12; 23; 0.0; 5.468379200014169
101; f; 26; 98; 3; 2; 5; 3; 1; 3; 2; 0; red; diamonds; 15; 76; 0.0; 5.760176700001466
101; f; 26; 98; 3; 2; 6; 4; 1; 4; 1; 0; red; dots; 12; 41; 0.0; 17.437115599997924
101; f; 26; 98; 3; 2; 7; 2; 1; 2; 3; 0; green; dots; 12; 23; 0.0; 1.6841451000072993
101; f; 26; 98; 3; 2; 8; 1; 1; 1; 4; 1; green; diamonds; 12; 14; 100.0; 1.7683604000048945
101; f; 26; 98; 3; 2; 9; 3; 1; 3; 2; 0; red; diamonds; 12; 32; 0.0; 1.3834248000057414
101; f; 26; 98; 3; 2; 10; 2; 1; 2; 3; 0; green; dots; 12; 23; 0.0; 1.3000412000110373
101; f; 26; 98; 3; 2; 11; 4; 1; 4; 1; 0; red; dots; 15; 85; 0.0; 1.6845327999908477
101; f; 26; 98; 3; 2; 12; 1; 1; 1; 4; 0; green; diamonds; 12; 14; 48.0; 10.127319099992746
101; f; 26; 98; 3; 2; 13; 1; 1; 1; 4; 1; green; diamonds; 15; 58; 49.0; 6.7688893000013195
101; f; 26; 98; 3; 2; 14; 4; 1; 4; 1; 0; red; dots; 12; 41; 0.0; 1.7277151000016602
101; f; 26; 98; 3; 2; 15; 2; 1; 2; 3; 0; green; dots; 15; 67; 0.0; 1.342013199988287
101; f; 26; 98; 3; 2; 16; 3; 1; 3; 2; 0; red; diamonds; 12; 32; 0.0; 1.61797690000094
101; f; 26; 98; 3; 2; 17; 4; 1; 4; 1; 0; red; dots; 12; 41; 0.0; 1.2270129000098677
101; f; 26; 98; 3; 2; 18; 1; 1; 1; 4; 1; green; diamonds; 15; 58; 100.0; 3.7008809999970254
101; f; 26; 98; 3; 2; 19; 3; 1; 3; 2; 0; red; diamonds; 15; 76; 1.0; 1.6082681999978377
101; f; 26; 98; 3; 2; 20; 4; 1; 4; 1; 1; red; dots; 15; 85; 49.0; 2.793130200006999
101; f; 26; 98; 3; 2; 21; 4; 1; 4; 1; 0; red; dots; 12; 41; 49.0; 4.191879300007713
101; f; 26; 98; 3; 2; 22; 1; 1; 1; 4; 1; green; diamonds; 15; 58; 100.0; 2.017170699997223
101; f; 26; 98; 3; 2; 23; 3; 1; 3; 2; 0; red; diamonds; 15; 76; 50.0; 1.558796400000574
101; f; 26; 98; 3; 2; 24; 4; 1; 4; 1; 0; red; dots; 12; 41; 50.0; 3.71790050000709
101; f; 26; 98; 3; 2; 25; 3; 1; 3; 2; 0; red; diamonds; 15; 76; 50.0; 1.234892700013006
101; f; 26; 98; 3; 2; 26; 1; 1; 1; 4; 1; green; diamonds; 12; 14; 100.0; 1.3996574000047985
101; f; 26; 98; 3; 2; 27; 3; 1; 3; 2; 0; red; diamonds; 12; 32; 49.0; 3.409863500011852
101; f; 26; 98; 3; 2; 28; 1; 1; 1; 4; 1; green; diamonds; 12; 14; 100.0; 1.7669299999979557
101; f; 26; 98; 3; 2; 29; 4; 1; 4; 1; 1; red; dots; 12; 41; 51.0; 3.0414155000034953
101; f; 26; 98; 3; 2; 30; 2; 1; 2; 3; 0; green; dots; 12; 23; 0.0; 8.23559350000869
101; f; 26; 98; 3; 2; 31; 4; 1; 4; 1; 0; red; dots; 15; 85; 0.0; 2.0509949999977835
101; f; 26; 98; 3; 2; 32; 4; 1; 4; 1; 0; red; dots; 15; 85; 0.0; 2.450362800009316
101; f; 26; 98; 3; 2; 33; 3; 1; 3; 2; 0; red; diamonds; 15; 76; 48.0; 2.9344481000007363
101; f; 26; 98; 3; 2; 34; 1; 1; 1; 4; 0; green; diamonds; 12; 14; 50.0; 2.475843000007444
101; f; 26; 98; 3; 2; 35; 2; 1; 2; 3; 0; green; dots; 15; 67; 1.0; 2.516968399999314
101; f; 26; 98; 3; 2; 36; 2; 1; 2; 3; 0; green; dots; 12; 23; 49.0; 3.6842289000051096
101; f; 26; 98; 3; 2; 37; 3; 1; 3; 2; 0; red; diamonds; 15; 76; 47.0; 3.684532899991609
101; f; 26; 98; 3; 2; 38; 2; 1; 2; 3; 1; green; dots; 12; 23; 50.0; 2.7423255999892717
101; f; 26; 98; 3; 2; 39; 1; 1; 1; 4; 1; green; diamonds; 15; 58; 100.0; 2.935659200011287
101; f; 26; 98; 3; 2; 40; 2; 1; 2; 3; 0; green; dots; 12; 23; 51.0; 2.392466000004788
101; f; 26; 98; 3; 2; 41; 2; 1; 2; 3; 0; green; dots; 12; 23; 50.0; 2.4756488999992143
101; f; 26; 98; 3; 2; 42; 4; 1; 4; 1; 0; red; dots; 15; 85; 0.0; 1.9755542000057176
101; f; 26; 98; 3; 2; 43; 3; 1; 3; 2; 0; red; diamonds; 12; 32; 0.0; 2.5094608000072185
101; f; 26; 98; 3; 2; 44; 1; 1; 1; 4; 0; green; diamonds; 15; 58; 50.0; 1.950846099993214
101; f; 26; 98; 3; 2; 45; 1; 1; 1; 4; 1; green; diamonds; 15; 58; 100.0; 1.284173499996541
101; f; 26; 98; 3; 2; 46; 3; 1; 3; 2; 0; red; diamonds; 15; 76; 0.0; 2.3921236000023782
101; f; 26; 98; 3; 2; 47; 4; 1; 4; 1; 0; red; dots; 15; 85; 1.0; 1.5177611999970395
101; f; 26; 98; 3; 2; 48; 3; 1; 3; 2; 0; red; diamonds; 15; 76; 0.0; 2.3253479999984847
101; f; 26; 98; 3; 2; 49; 1; 1; 1; 4; 1; green; diamonds; 12; 14; 100.0; 1.3095008000091184
101; f; 26; 98; 3; 2; 50; 2; 1; 2; 3; 0; green; dots; 12; 23; 0.0; 1.8929896000045119
101; f; 26; 98; 3; 2; 51; 4; 1; 4; 1; 0; red; dots; 12; 41; 0.0; 1.2185346000042045
101; f; 26; 98; 3; 2; 52; 1; 1; 1; 4; 1; green; diamonds; 15; 58; 99.0; 1.0096192000055453
101; f; 26; 98; 3; 2; 53; 2; 1; 2; 3; 0; green; dots; 12; 23; 1.0; 1.3011215000005905
101; f; 26; 98; 3; 2; 54; 4; 1; 4; 1; 1; red; dots; 15; 85; 48.0; 1.8414830999972764
101; f; 26; 98; 3; 2; 55; 2; 1; 2; 3; 1; green; dots; 12; 23; 50.0; 1.042843700008234
101; f; 26; 98; 3; 2; 56; 1; 1; 1; 4; 1; green; diamonds; 12; 14; 100.0; 1.283750600006897
101; f; 26; 98; 3; 2; 57; 4; 1; 4; 1; 0; red; dots; 15; 85; 0.0; 1.451929699993343
101; f; 26; 98; 3; 2; 58; 3; 1; 3; 2; 0; red; diamonds; 12; 32; 0.0; 1.8750967000087257
101; f; 26; 98; 3; 2; 59; 2; 1; 2; 3; 0; green; dots; 12; 23; 0.0; 1.4674667999934172
101; f; 26; 98; 3; 2; 60; 3; 1; 3; 2; 0; red; diamonds; 15; 76; 0.0; 1.5834936000028392
101; f; 26; 98; 3; 2; 61; 1; 1; 1; 4; 0; green; diamonds; 12; 14; 50.0; 1.1753986999974586
101; f; 26; 98; 3; 2; 62; 4; 1; 4; 1; 0; red; dots; 15; 85; 49.0; 5.075760599997011
101; f; 26; 98; 3; 2; 63; 1; 1; 1; 4; 1; green; diamonds; 15; 58; 100.0; 0.8598587000014959
101; f; 26; 98; 3; 2; 64; 2; 1; 2; 3; 1; green; dots; 12; 23; 50.0; 2.1186783999874024
101; f; 26; 98; 3; 2; 65; 4; 1; 4; 1; 0; red; dots; 12; 41; 0.0; 2.0508512999949744
101; f; 26; 98; 3; 2; 66; 2; 1; 2; 3; 0; green; dots; 15; 67; 0.0; 1.383421399994404
101; f; 26; 98; 3; 2; 67; 2; 1; 2; 3; 0; green; dots; 15; 67; 0.0; 1.5008432000031462
101; f; 26; 98; 3; 2; 68; 2; 1; 2; 3; 0; green; dots; 15; 67; 0.0; 1.424989099992672
101; f; 26; 98; 3; 2; 69; 3; 1; 3; 2; 0; red; diamonds; 12; 32; 0.0; 1.3682575999991968
101; f; 26; 98; 3; 2; 70; 1; 1; 1; 4; 1; green; diamonds; 15; 58; 100.0; 1.4347823999996763
101; f; 26; 98; 3; 2; 71; 3; 1; 3; 2; 0; red; diamonds; 12; 32; 0.0; 1.6501002000004519
101; f; 26; 98; 3; 2; 72; 1; 1; 1; 4; 1; green; diamonds; 12; 14; 100.0; 1.2851897000073222
101; f; 26; 98; 3; 2; 73; 2; 1; 2; 3; 0; green; dots; 15; 67; 0.0; 1.4430398999975296
101; f; 26; 98; 3; 2; 74; 4; 1; 4; 1; 1; red; dots; 15; 85; 49.0; 1.5000411000073655
101; f; 26; 98; 3; 2; 75; 1; 1; 1; 4; 1; green; diamonds; 15; 58; 100.0; 1.2254596999991918
101; f; 26; 98; 3; 2; 76; 3; 1; 3; 2; 0; red; diamonds; 12; 32; 0.0; 1.5600143000046955
101; f; 26; 98; 3; 2; 77; 3; 1; 3; 2; 0; red; diamonds; 15; 76; 0.0; 1.317488200002117
101; f; 26; 98; 3; 2; 78; 4; 1; 4; 1; 0; red; dots; 12; 41; 0.0; 1.583864000000176
101; f; 26; 98; 3; 2; 79; 4; 1; 4; 1; 0; red; dots; 12; 41; 0.0; 1.692475400006515
101; f; 26; 98; 3; 2; 80; 3; 1; 3; 2; 0; red; diamonds; 12; 32; 1.0; 1.1840926000004401
101; f; 26; 98; 3; 2; 81; 1; 2; 4; 1; 1; red; dots; 12; 141; 49.0; 1.541683200004627
101; f; 26; 98; 3; 2; 82; 1; 2; 4; 1; 1; red; dots; 12; 141; 50.0; 1.2916100000002189
101; f; 26; 98; 3; 2; 83; 3; 2; 2; 3; 0; green; dots; 12; 123; 0.0; 1.2911598999926355
101; f; 26; 98; 3; 2; 84; 3; 2; 2; 3; 0; green; dots; 15; 167; 0.0; 1.200815699994564
101; f; 26; 98; 3; 2; 85; 3; 2; 2; 3; 0; green; dots; 12; 123; 0.0; 1.7260172000096645
